Name;Name2;Name3;;Stadt;Land
333;Armand David Botanical Garden;;;La Genête;FRANCE
Botanic Garden;University of Copenhagen;;;Kobenhavnk K;DANMARK
Jardin Botanique;Universite Louis Pasteur;;;Strasbourg Cedex;FRANCE
Jardin Botanique;de Talence;;;Talence;FRANCE
Jardin Botanique de la;Faculté de Pharmacie;Laboratoire de Biologie Vég.;;Tours;FRANCE
Conservatoire &;Jardins Botaniques;de Nancy - Le Monet;;Villers-les-Nancy;FRANCE
Jardin des Plantes;de Marnay sur Seine;;;Marnay sur Seine;FRANCE
Jardin des Plantes;Université de Montpellier;;;Montpellier;FRANCE
Jardin Botanique des Olfacties;;;;Coëx;FRANCE
Conservatoire National dePlantes;à Parfum, Medicinales,;Aromatiques et Industrielles, CNPMAI;;Milly-la-Forét;FRANCE
Chelsea Physic Garden;;;;London SW3 4HS;United Kingdom
;University Botanic Garden;;;Oxford/England OX1 4AZ;United Kingdom
Hortus Botanicus;Instituti Plantarum Medicinalium;;;Budakalász;HUNGARY
Szent Istvan Efyetem;Soroksari Botanikus Kert;Universitas de Sancto Stephano nominatae;;Budapest;HUNGARY
Vera Csapody Hardy Plant Society;of Hungary - Seed Exchange;Kalásziné D. Ilona;;Budapest;HUNGARY
Elte Botanikus Kert;Eötvös Lorand University of Sciences;;;Budapest VIII;HUNGARY
Botanikus Kertje;Erdeszeti es Faipari;Egyetem;;Sopron;HUNGARY
Jardins ethnobotaniques de Salagon;Prieuré de Salagon;;;Mane en Provence;FRANCE
Jardin Botanique;de la Ville;et de l'Université;;Besançon;FRANCE
Public Garden and;Botanic Garden;Lustigardur Akureyrar;;Akureyri;ICELAND
Real Jardín Botánico (CSIC);U.S. Jardineria;;;Madrid;SPAIN
Jardin Botanico Historico "La Conception";Patronato Botanico Municipal;"Ciudad de Malaga";;Malaga;SPAIN
Real Jardín Botánico;Juan Carlos 1;Universidad de Alcalá;;Alcalá de Henares;SPAIN
Fundacion el botanico;Jardin Botanico;de La Rioja;;Nájera (La Rioja);SPAIN
National Botanic Gardens;;;;Dublin 9;REP. OF IRELAND
Jardin Botanique;de Rouen;Mairie de Rouen, Directiondes Espaces Verts;;Rouen;FRANCE
Jardin Botanique Faculté de Pharmacie;U.F.R des Scienses Pharmaceutiques &;d'Ingénierie de la Santé;;Angers Cedex;FRANCE
Giardino Botanico Alpino 'Rezia';Parco Nazionale;dello Stelvio;;Bormio SO;ITALY
Jardin Botanique;de Bordeaux;Terrasse du Jardin Public;;Bordeaux;FRANCE
Jardin Botanique;de la Ville;et de l'Université;;Caen;FRANCE
Jardin Botanique;Service des Espaces Verts;Ville de Clermont-Ferrand;;Clermont-Ferrand;FRANCE
Jardin Botanique;de la Ville;Musée d'Histoire Naturelle;;DIJON - Mairie;FRANCE
Jardin Botanique;Mairie de Limoges;direction des espaces verts;;Limoges Cedex;FRANCE
Mairie de Lyon;c/o Jardin Botanique;;;LYON cedex 01;FRANCE
Botanical Garden;Tartu University;;;Tartu;ESTONIA
Gardino Botanico;"Michele Tenore";;;Lama die Peligni (Chieti);ITALY
Hortus Botanicus Sibiricus Centralis;;;;Novosibirsk;RUSSIA
Perm State University Botanical Garden;;;;Perm;RUSSIA
Orto Botanico;dell Universitá;degli Studi di Napoli "Federico II";;Napoli;ITALY
Orto Botanico, Museo Botanico;Dip. Sc. Amb. "G. Sarfatti";Università degli Studi di Siena;;Siena;ITALY
Giardino Botanico Alpino Chanousia;c/o Dipart. Biologia Vegetale;dell' Universita di Torino;;Torino;ITALY
Gardino Botanico REA;via Giaveno, 40;franz. San Bernardino;;Trana-Torino;ITALY
Hortus Botanicus;Universitatis;;;Szeged;HUNGARY
Giardino Botanico Alpino Saussurea;c/o Funivie Monte Bianco La Palud;;;Courmayeur (Aosta);ITALY
Perkalsky Arboretum;;;;Pyatigorsk, Energetik;RUSSIA
Luca Gelardi;The Ethnobotanic Garden;;;Catania;ITALY
Gardino Botanico;Gole del Sagittario;;;Anversa degli Abruzzi - AQ;ITALY
Orto Botanico;Loc. Frignoli;Segreteria Legambiente Onlus;;Terrarossa (MS);ITALY
Centro Ricerche, Floristiche dell'Appennino;Parco Nazionale del Gran Sasso;Università degli studi di Camerino;;Barisciano (AQ);ITALY
Giardino dei Semplici;Università degli Studi “G. d’Annunzio”;Facoltà di Farmacia;;Chieti;ITALY
Orto Botanico di Collemaggio;Circuito di Collemaggio,;Amministrazione Provinciale dell'Aquila;;L'Aquila;ITALY
Botanical Garden of Iran;Research Institute of Forests & Rangelands;;;Teheran;IRAN
Orto Botanico;dell' Universita "Carlo Bo";"Pierina Scaramella";;Urbino;ITALY
Hortus Botanicus;Russian Academy of Sciences;Botanical Garden - Institute FEBRAS;;Vladivostok;RUSSIA
Biologisches Institut;der Universität Stuttgart;Botanischer Garten;;Stuttgart;Deutschland
Dipartimento di Botanica;Universita ´di Catania;Orto Botanico;;Catania;ITALY
Parco Nazionale Gran Paradiso;Giardino Botanico Alpino Paradisia;;;Cogne (Aosta);ITALY
Orto Botanico;Università degli Studi di Ferrara;;;Ferrara;ITALY
